STATE,weighted_count,state_name
36,311682.0,NY
12,309199.0,FL
13,83681.0,GA
34,81303.0,NJ
09,57280.0,CT
24,45807.0,MD
48,45744.0,TX
42,41143.0,PA
06,37389.0,CA
25,32309.0,MA
51,29101.0,VA
37,25605.0,NC
39,15711.0,OH
17,15444.0,IL
45,10517.0,SC
47,10320.0,TN
08,9323.0,CO
53,9199.0,WA
26,8397.0,MI
04,6669.0,AZ
10,6051.0,DE
11,5984.0,DC
18,5855.0,IN
01,5535.0,AL
29,4462.0,MO
27,4296.0,MN
21,3481.0,KY
32,3258.0,NV
22,3126.0,LA
28,2405.0,MS
33,2243.0,NH
40,2119.0,OK
19,1998.0,IA
20,1983.0,KS
44,1846.0,RI
41,1820.0,OR
54,1668.0,WV
15,1579.0,HI
55,1120.0,WI
50,896.0,VT
05,796.0,AR
23,734.0,ME
30,659.0,MT
49,588.0,UT
02,514.0,AK
16,512.0,ID
35,260.0,NM
56,177.0,WY
31,153.0,NE
38,117.0,ND
