STATE,weighted_count,state_name
36,80980.0,NY
12,44527.0,FL
34,16575.0,NJ
13,14681.0,GA
48,11988.0,TX
24,11971.0,MD
42,9105.0,PA
25,8601.0,MA
51,7452.0,VA
06,6245.0,CA
37,6130.0,NC
04,3483.0,AZ
22,2979.0,LA
09,2542.0,CT
17,2055.0,IL
29,2040.0,MO
39,1970.0,OH
45,1776.0,SC
53,1523.0,WA
11,1388.0,DC
32,1249.0,NV
01,1010.0,AL
27,730.0,MN
47,679.0,TN
10,603.0,DE
05,514.0,AR
26,513.0,MI
08,432.0,CO
15,432.0,HI
18,353.0,IN
49,351.0,UT
20,273.0,KS
21,191.0,KY
28,154.0,MS
23,152.0,ME
02,144.0,AK
40,117.0,OK
50,101.0,VT
41,83.0,OR
54,79.0,WV
19,11.0,IA
