STATE,PUMA,PWGTP,AGEP,SEX,RAC1P,HISP,NATIVITY,ANC1P,ANC2P,SCHL,ESR,PINCP
04,00123,79,40,1,2,1,1,902,370,22.0,1.0,58000.0
04,00123,92,64,2,9,1,2,370,999,15.0,1.0,29000.0
04,00109,108,23,2,8,1,1,370,999,20.0,3.0,0.0
04,01902,113,33,2,2,3,1,261,370,23.0,4.0,125000.0
04,00108,132,20,1,9,1,1,195,370,19.0,6.0,2000.0
04,00108,108,16,1,9,1,1,195,370,14.0,1.0,3000.0
04,00108,128,13,1,9,1,1,195,370,11.0,,
04,00108,124,11,2,9,1,1,195,370,8.0,,
04,00132,112,59,2,6,1,2,370,999,21.0,6.0,0.0
05,00202,81,43,1,1,1,1,370,999,19.0,1.0,39000.0
06,03711,16,25,2,2,1,1,370,599,22.0,1.0,60000.0
06,05908,148,25,2,2,1,1,370,599,22.0,1.0,60000.0
06,08517,17,25,2,2,1,1,370,599,22.0,1.0,65000.0
06,03715,36,25,2,2,1,1,370,599,22.0,1.0,60000.0
06,02300,9,21,2,2,3,1,370,999,16.0,6.0,8050.0
06,01700,55,25,2,2,1,1,370,599,22.0,1.0,60000.0
06,07301,126,41,2,9,1,1,370,094,22.0,1.0,117600.0
06,07301,63,16,2,9,1,1,370,094,13.0,6.0,0.0
06,07301,126,4,2,9,1,1,370,094,1.0,,
06,07327,58,51,2,1,1,2,022,370,21.0,6.0,26900.0
06,06709,57,84,2,9,1,2,370,999,22.0,6.0,84000.0
06,06502,15,67,2,6,1,2,706,370,23.0,6.0,52000.0
06,10100,208,30,2,6,3,1,261,370,22.0,1.0,100000.0
06,03725,163,50,1,8,1,1,370,999,19.0,1.0,112000.0
06,03725,153,47,2,8,1,1,370,999,21.0,6.0,60000.0
06,03704,67,75,1,2,1,2,370,999,1.0,6.0,28800.0
06,03758,102,13,2,8,1,1,370,302,10.0,,
06,07317,106,33,1,9,1,1,370,051,19.0,1.0,9000.0
06,05907,176,30,1,9,1,1,902,370,20.0,1.0,50000.0
06,01903,114,94,1,9,1,2,370,999,15.0,6.0,16300.0
06,01903,100,85,2,9,1,2,370,999,15.0,6.0,2700.0
06,01903,96,59,1,9,1,2,370,999,18.0,3.0,0.0
06,03730,84,55,2,2,1,2,308,370,22.0,3.0,10700.0
