NAME,state,guyanese_ancestry
New York,36,148448
Florida,12,31320
New Jersey,34,24511
Georgia,13,12450
Maryland,24,8408
Pennsylvania,42,5385
California,06,4830
Texas,48,4321
Connecticut,09,3577
Virginia,51,3406
Massachusetts,25,2613
North Carolina,37,2282
District of Columbia,11,1931
Minnesota,27,1841
South Carolina,45,1484
Delaware,10,1354
Arizona,04,926
Ohio,39,878
Indiana,18,855
Illinois,17,457
Montana,30,409
Oregon,41,289
Tennessee,47,262
Louisiana,22,250
Washington,53,217
Kentucky,21,202
Michigan,26,167
Colorado,08,146
Nevada,32,89
Hawaii,15,85
Oklahoma,40,78
Arkansas,05,64
New Mexico,35,57
Kansas,20,50
Rhode Island,44,36
Idaho,16,34
Mississippi,28,32
Alabama,01,26
Missouri,29,13
North Dakota,38,0
New Hampshire,33,0
Nebraska,31,0
South Dakota,46,0
Alaska,02,0
Utah,49,0
Vermont,50,0
Maine,23,0
Iowa,19,0
West Virginia,54,0
Wisconsin,55,0
Wyoming,56,0
Puerto Rico,72,0
