county_fips,NAICS_CODE,sector_flag,establishments,nonemployers,is_target_sector
12011,00,,68191.0,362334.0,False
12011,11,,48.0,658.0,False
12011,113,,3.0,53.0,False
12011,114,,15.0,323.0,False
12011,1141,,13.0,292.0,False
12011,11411,,13.0,292.0,False
12011,114111,,5.0,,False
12011,114119,,7.0,,False
12011,1142,,,31.0,False
12011,11421,,,31.0,False
12011,115,,30.0,282.0,False
12011,1151,,5.0,113.0,False
12011,11511,,5.0,113.0,False
12011,1152,,24.0,140.0,False
12011,11521,,24.0,140.0,False
12011,115210,,24.0,,False
12011,1153,,,29.0,False
12011,11531,,,29.0,False
12011,21,,11.0,38.0,False
12011,212,,4.0,20.0,False
12011,2122,,,9.0,False
12011,2123,,3.0,9.0,False
12011,213,,7.0,18.0,False
12011,2131,,7.0,18.0,False
12011,21311,,7.0,18.0,False
12011,22,,51.0,134.0,False
12011,221,,51.0,134.0,False
12011,2211,,30.0,,False
12011,22111,,8.0,,False
12011,221114,,4.0,,False
12011,22112,,22.0,,False
12011,221122,,20.0,,False
12011,2212,,3.0,,False
12011,22121,,3.0,,False
12011,221210,,3.0,,False
12011,2213,,18.0,,False
12011,22131,,16.0,,False
12011,221310,,16.0,,False
12011,23,,5558.0,29638.0,False
12011,236,,1535.0,9764.0,False
12011,2361,,1212.0,8656.0,False
12011,23611,,1212.0,,False
12011,236115,,244.0,,False
12011,236116,,43.0,,False
12011,236117,,42.0,,False
12011,236118,,883.0,,False
12011,2362,,323.0,1108.0,False
12011,23621,,30.0,,False
12011,236210,,30.0,,False
12011,23622,,293.0,,False
12011,236220,,293.0,,False
12011,237,,177.0,349.0,False
12011,2371,,82.0,143.0,False
12011,23711,,41.0,,False
12011,237110,,41.0,,False
12011,23712,,7.0,,False
12011,237120,,7.0,,False
12011,23713,,34.0,,False
12011,237130,,34.0,,False
12011,2372,,22.0,34.0,False
12011,23721,,22.0,34.0,False
12011,237210,,22.0,,False
12011,2373,,29.0,40.0,False
12011,23731,,29.0,40.0,False
12011,237310,,29.0,,False
12011,2379,,44.0,132.0,False
12011,23799,,44.0,132.0,False
12011,237990,,44.0,,False
12011,238,,3846.0,19525.0,False
12011,2381,,557.0,1970.0,False
12011,23811,,89.0,,False
12011,238110,,89.0,,False
12011,23812,,22.0,,False
12011,238120,,22.0,,False
12011,23813,,40.0,,False
12011,238130,,40.0,,False
12011,23814,,61.0,,False
12011,238140,,61.0,,False
12011,23815,,70.0,,False
12011,238150,,70.0,,False
12011,23816,,199.0,,False
12011,238160,,199.0,,False
12011,23817,,23.0,,False
12011,238170,,23.0,,False
12011,23819,,53.0,,False
12011,238190,,53.0,,False
12011,2382,,1629.0,3892.0,False
12011,23821,,685.0,1704.0,False
12011,238210,,685.0,,False
12011,23822,,881.0,1898.0,False
12011,238220,,881.0,,False
12011,23829,,63.0,290.0,False
12011,238290,,63.0,,False
12011,2383,,1238.0,7611.0,False
12011,23831,,164.0,,False
12011,238310,,164.0,,False
12011,23832,,345.0,,False
12011,238320,,345.0,,False
12011,23833,,166.0,,False
12011,238330,,166.0,,False
12011,23834,,139.0,,False
12011,238340,,139.0,,False
12011,23835,,349.0,,False
12011,238350,,349.0,,False
12011,23839,,75.0,,False
12011,238390,,75.0,,False
12011,2389,,422.0,6052.0,False
12011,23891,,115.0,,False
12011,238910,,115.0,,False
12011,23899,,307.0,,False
12011,238990,,307.0,,False
12011,31-33,,1458.0,3900.0,False
12011,311,,137.0,709.0,False
12011,3111,,,22.0,False
12011,31111,,,22.0,False
12011,3112,,,5.0,False
12011,3113,,6.0,26.0,False
12011,31134,,5.0,,False
12011,311340,,5.0,,False
