NAME,NAICS_CODE,NESTAB,state,county,county_fips,sector_flag
"Queens County, New York",00,277939,36,081,36081,
"Queens County, New York",11,126,36,081,36081,
"Queens County, New York",113,20,36,081,36081,
"Queens County, New York",114,34,36,081,36081,
"Queens County, New York",1141,32,36,081,36081,
"Queens County, New York",11411,32,36,081,36081,
"Queens County, New York",115,72,36,081,36081,
"Queens County, New York",1151,33,36,081,36081,
"Queens County, New York",11511,33,36,081,36081,
"Queens County, New York",1152,27,36,081,36081,
"Queens County, New York",11521,27,36,081,36081,
"Queens County, New York",1153,12,36,081,36081,
"Queens County, New York",11531,12,36,081,36081,
"Queens County, New York",21,17,36,081,36081,
"Queens County, New York",212,8,36,081,36081,
"Queens County, New York",2122,3,36,081,36081,
"Queens County, New York",2123,3,36,081,36081,
"Queens County, New York",213,9,36,081,36081,
"Queens County, New York",2131,9,36,081,36081,
"Queens County, New York",21311,9,36,081,36081,
"Queens County, New York",22,126,36,081,36081,
"Queens County, New York",221,126,36,081,36081,
"Queens County, New York",23,24355,36,081,36081,
"Queens County, New York",236,8718,36,081,36081,
"Queens County, New York",2361,7500,36,081,36081,
"Queens County, New York",2362,1218,36,081,36081,
"Queens County, New York",237,193,36,081,36081,
"Queens County, New York",2371,70,36,081,36081,
"Queens County, New York",2372,20,36,081,36081,
"Queens County, New York",23721,20,36,081,36081,
"Queens County, New York",2373,35,36,081,36081,
"Queens County, New York",23731,35,36,081,36081,
"Queens County, New York",2379,68,36,081,36081,
"Queens County, New York",23799,68,36,081,36081,
"Queens County, New York",238,15444,36,081,36081,
"Queens County, New York",2381,1712,36,081,36081,
"Queens County, New York",2382,3177,36,081,36081,
"Queens County, New York",23821,1427,36,081,36081,
"Queens County, New York",23822,1555,36,081,36081,
"Queens County, New York",23829,195,36,081,36081,
"Queens County, New York",2383,5910,36,081,36081,
"Queens County, New York",2389,4645,36,081,36081,
"Queens County, New York",31-33,2049,36,081,36081,
"Queens County, New York",311,501,36,081,36081,
"Queens County, New York",3111,13,36,081,36081,
"Queens County, New York",31111,13,36,081,36081,
"Queens County, New York",3113,13,36,081,36081,
"Queens County, New York",3114,29,36,081,36081,
"Queens County, New York",3115,13,36,081,36081,
"Queens County, New York",3116,3,36,081,36081,
"Queens County, New York",31161,3,36,081,36081,
"Queens County, New York",3117,70,36,081,36081,
"Queens County, New York",31171,70,36,081,36081,
"Queens County, New York",3118,225,36,081,36081,
"Queens County, New York",3119,135,36,081,36081,
"Queens County, New York",312,14,36,081,36081,
"Queens County, New York",313,10,36,081,36081,
"Queens County, New York",314,18,36,081,36081,
"Queens County, New York",315,252,36,081,36081,
"Queens County, New York",316,28,36,081,36081,
"Queens County, New York",3161,6,36,081,36081,
"Queens County, New York",31611,6,36,081,36081,
"Queens County, New York",3162,6,36,081,36081,
"Queens County, New York",31621,6,36,081,36081,
"Queens County, New York",3169,16,36,081,36081,
"Queens County, New York",31699,16,36,081,36081,
"Queens County, New York",321,44,36,081,36081,
"Queens County, New York",325,151,36,081,36081,
"Queens County, New York",322,4,36,081,36081,
"Queens County, New York",323,174,36,081,36081,
"Queens County, New York",3231,174,36,081,36081,
"Queens County, New York",3252,3,36,081,36081,
"Queens County, New York",3253,7,36,081,36081,
"Queens County, New York",3254,15,36,081,36081,
"Queens County, New York",32541,15,36,081,36081,
"Queens County, New York",3255,19,36,081,36081,
"Queens County, New York",3256,95,36,081,36081,
"Queens County, New York",3259,11,36,081,36081,
"Queens County, New York",3272,9,36,081,36081,
"Queens County, New York",326,9,36,081,36081,
"Queens County, New York",327,27,36,081,36081,
"Queens County, New York",3271,3,36,081,36081,
"Queens County, New York",32721,9,36,081,36081,
"Queens County, New York",3273,3,36,081,36081,
"Queens County, New York",3279,11,36,081,36081,
"Queens County, New York",331,31,36,081,36081,
"Queens County, New York",332,80,36,081,36081,
"Queens County, New York",333,48,36,081,36081,
"Queens County, New York",334,51,36,081,36081,
"Queens County, New York",335,38,36,081,36081,
"Queens County, New York",336,116,36,081,36081,
"Queens County, New York",337,82,36,081,36081,
"Queens County, New York",339,369,36,081,36081,
"Queens County, New York",3391,85,36,081,36081,
"Queens County, New York",33911,85,36,081,36081,
"Queens County, New York",3399,284,36,081,36081,
"Queens County, New York",42,5140,36,081,36081,
"Queens County, New York",423,2180,36,081,36081,
"Queens County, New York",4231,165,36,081,36081,
"Queens County, New York",4232,105,36,081,36081,
"Queens County, New York",4233,43,36,081,36081,
"Queens County, New York",4234,61,36,081,36081,
"Queens County, New York",4235,22,36,081,36081,
"Queens County, New York",4236,102,36,081,36081,
"Queens County, New York",4237,57,36,081,36081,
"Queens County, New York",4238,73,36,081,36081,
"Queens County, New York",4239,1552,36,081,36081,
"Queens County, New York",42391,48,36,081,36081,
"Queens County, New York",42399,958,36,081,36081,
"Queens County, New York",42392,54,36,081,36081,
"Queens County, New York",42393,35,36,081,36081,
"Queens County, New York",42394,457,36,081,36081,
"Queens County, New York",424,1896,36,081,36081,
"Queens County, New York",4241,32,36,081,36081,
"Queens County, New York",4244,403,36,081,36081,
"Queens County, New York",4242,33,36,081,36081,
"Queens County, New York",42421,33,36,081,36081,
"Queens County, New York",4243,321,36,081,36081,
"Queens County, New York",4245,28,36,081,36081,
"Queens County, New York",4246,21,36,081,36081,
"Queens County, New York",4248,49,36,081,36081,
"Queens County, New York",4249,1008,36,081,36081,
"Queens County, New York",42491,7,36,081,36081,
"Queens County, New York",42492,42,36,081,36081,
"Queens County, New York",42493,64,36,081,36081,
"Queens County, New York",42494,14,36,081,36081,
"Queens County, New York",42495,17,36,081,36081,
"Queens County, New York",42499,864,36,081,36081,
"Queens County, New York",425,1064,36,081,36081,
"Queens County, New York",4251,1064,36,081,36081,
"Queens County, New York",42512,1064,36,081,36081,
"Queens County, New York",44-45,16072,36,081,36081,Retail Trade
"Queens County, New York",441,1630,36,081,36081,
"Queens County, New York",4411,982,36,081,36081,
"Queens County, New York",44112,982,36,081,36081,
"Queens County, New York",4412,143,36,081,36081,
"Queens County, New York",44121,27,36,081,36081,
"Queens County, New York",44122,116,36,081,36081,
"Queens County, New York",441222,36,36,081,36081,
"Queens County, New York",441227,80,36,081,36081,
"Queens County, New York",4413,505,36,081,36081,
"Queens County, New York",444,364,36,081,36081,
"Queens County, New York",4441,253,36,081,36081,
"Queens County, New York",44411,40,36,081,36081,
"Queens County, New York",44412,30,36,081,36081,
"Queens County, New York",44414,49,36,081,36081,
"Queens County, New York",44418,134,36,081,36081,
"Queens County, New York",4442,111,36,081,36081,
"Queens County, New York",445,2570,36,081,36081,
"Queens County, New York",4451,1269,36,081,36081,
"Queens County, New York",44513,269,36,081,36081,
"Queens County, New York",44524,99,36,081,36081,
"Queens County, New York",445132,189,36,081,36081,
"Queens County, New York",4452,1183,36,081,36081,
"Queens County, New York",44523,206,36,081,36081,
"Queens County, New York",44525,36,36,081,36081,
"Queens County, New York",44529,842,36,081,36081,
"Queens County, New York",4453,118,36,081,36081,
"Queens County, New York",44532,118,36,081,36081,
"Queens County, New York",449,995,36,081,36081,
"Queens County, New York",4491,480,36,081,36081,
"Queens County, New York",44911,146,36,081,36081,
"Queens County, New York",44912,334,36,081,36081,
"Queens County, New York",4492,515,36,081,36081,
"Queens County, New York",44921,515,36,081,36081,
"Queens County, New York",455,1263,36,081,36081,
"Queens County, New York",456,2430,36,081,36081,
"Queens County, New York",4561,2430,36,081,36081,
"Queens County, New York",45611,185,36,081,36081,
"Queens County, New York",45612,1047,36,081,36081,
"Queens County, New York",45613,73,36,081,36081,
"Queens County, New York",45619,1125,36,081,36081,
"Queens County, New York",457,77,36,081,36081,
"Queens County, New York",4571,69,36,081,36081,
"Queens County, New York",4572,8,36,081,36081,
"Queens County, New York",45721,8,36,081,36081,
"Queens County, New York",458,2811,36,081,36081,
"Queens County, New York",4581,2030,36,081,36081,
"Queens County, New York",45811,2030,36,081,36081,
"Queens County, New York",4582,168,36,081,36081,
"Queens County, New York",45821,168,36,081,36081,
"Queens County, New York",4583,613,36,081,36081,
"Queens County, New York",45831,589,36,081,36081,
"Queens County, New York",45832,24,36,081,36081,
"Queens County, New York",459,3932,36,081,36081,
"Queens County, New York",4591,408,36,081,36081,
"Queens County, New York",45911,70,36,081,36081,
"Queens County, New York",45912,155,36,081,36081,
"Queens County, New York",45913,97,36,081,36081,
"Queens County, New York",45914,86,36,081,36081,
"Queens County, New York",45941,55,36,081,36081,
"Queens County, New York",4592,94,36,081,36081,
"Queens County, New York",45921,94,36,081,36081,
"Queens County, New York",4593,206,36,081,36081,
"Queens County, New York",45931,206,36,081,36081,
"Queens County, New York",4594,643,36,081,36081,
"Queens County, New York",45942,588,36,081,36081,
"Queens County, New York",4595,398,36,081,36081,
"Queens County, New York",45951,398,36,081,36081,
"Queens County, New York",4599,2183,36,081,36081,
"Queens County, New York",45991,53,36,081,36081,
"Queens County, New York",45992,106,36,081,36081,
"Queens County, New York",45993,8,36,081,36081,
"Queens County, New York",45999,2016,36,081,36081,
"Queens County, New York",48-49,71350,36,081,36081,Transportation/Warehousing
"Queens County, New York",481,149,36,081,36081,
"Queens County, New York",483,49,36,081,36081,
"Queens County, New York",484,7501,36,081,36081,Transportation/Warehousing
"Queens County, New York",4841,7017,36,081,36081,Transportation/Warehousing
"Queens County, New York",48411,1674,36,081,36081,Transportation/Warehousing
"Queens County, New York",48412,5343,36,081,36081,Transportation/Warehousing
"Queens County, New York",4842,484,36,081,36081,Transportation/Warehousing
"Queens County, New York",485,48447,36,081,36081,Transportation/Warehousing
"Queens County, New York",4851,87,36,081,36081,Transportation/Warehousing
"Queens County, New York",48511,87,36,081,36081,Transportation/Warehousing
"Queens County, New York",4852,30,36,081,36081,Transportation/Warehousing
"Queens County, New York",48521,30,36,081,36081,Transportation/Warehousing
"Queens County, New York",4853,46534,36,081,36081,Transportation/Warehousing
"Queens County, New York",4854,76,36,081,36081,Transportation/Warehousing
"Queens County, New York",48541,76,36,081,36081,Transportation/Warehousing
"Queens County, New York",4855,46,36,081,36081,Transportation/Warehousing
"Queens County, New York",48551,46,36,081,36081,Transportation/Warehousing
"Queens County, New York",4859,1674,36,081,36081,Transportation/Warehousing
"Queens County, New York",48599,1674,36,081,36081,Transportation/Warehousing
"Queens County, New York",487,72,36,081,36081,
"Queens County, New York",488,1324,36,081,36081,
"Queens County, New York",492,13587,36,081,36081,Transportation/Warehousing
"Queens County, New York",493,219,36,081,36081,Transportation/Warehousing
"Queens County, New York",4931,219,36,081,36081,Transportation/Warehousing
"Queens County, New York",51,3678,36,081,36081,
"Queens County, New York",513,509,36,081,36081,
"Queens County, New York",512,1864,36,081,36081,
"Queens County, New York",5121,1476,36,081,36081,
"Queens County, New York",5122,388,36,081,36081,
"Queens County, New York",516,239,36,081,36081,
"Queens County, New York",517,215,36,081,36081,
"Queens County, New York",518,478,36,081,36081,
"Queens County, New York",5192,373,36,081,36081,
"Queens County, New York",5182,478,36,081,36081,
"Queens County, New York",51821,478,36,081,36081,
"Queens County, New York",519,373,36,081,36081,
"Queens County, New York",52,3755,36,081,36081,
"Queens County, New York",522,379,36,081,36081,
"Queens County, New York",5221,24,36,081,36081,
"Queens County, New York",5222,184,36,081,36081,
"Queens County, New York",5223,171,36,081,36081,
"Queens County, New York",523,1091,36,081,36081,
"Queens County, New York",5231,128,36,081,36081,
"Queens County, New York",52315,98,36,081,36081,
"Queens County, New York",52316,30,36,081,36081,
"Queens County, New York",5232,33,36,081,36081,
"Queens County, New York",52321,33,36,081,36081,
"Queens County, New York",5239,930,36,081,36081,
"Queens County, New York",524,2285,36,081,36081,
"Queens County, New York",5242,2284,36,081,36081,
"Queens County, New York",52421,1688,36,081,36081,
"Queens County, New York",52429,596,36,081,36081,
"Queens County, New York",53,24876,36,081,36081,
"Queens County, New York",531,24242,36,081,36081,
"Queens County, New York",5311,11834,36,081,36081,
"Queens County, New York",5312,4860,36,081,36081,
"Queens County, New York",53121,4860,36,081,36081,
"Queens County, New York",5313,7548,36,081,36081,
"Queens County, New York",53131,2756,36,081,36081,
"Queens County, New York",53132,92,36,081,36081,
"Queens County, New York",53139,4700,36,081,36081,
"Queens County, New York",532,533,36,081,36081,
"Queens County, New York",53228,107,36,081,36081,
"Queens County, New York",5321,191,36,081,36081,
"Queens County, New York",5322,122,36,081,36081,
"Queens County, New York",53221,15,36,081,36081,
"Queens County, New York",532281,3,36,081,36081,
"Queens County, New York",532282,8,36,081,36081,
"Queens County, New York",532284,22,36,081,36081,
"Queens County, New York",532289,72,36,081,36081,
"Queens County, New York",5323,109,36,081,36081,
"Queens County, New York",53231,109,36,081,36081,
"Queens County, New York",5324,111,36,081,36081,
"Queens County, New York",533,101,36,081,36081,
"Queens County, New York",5331,101,36,081,36081,
"Queens County, New York",5411,1849,36,081,36081,
"Queens County, New York",53311,101,36,081,36081,
"Queens County, New York",54,27575,36,081,36081,
"Queens County, New York",541,27575,36,081,36081,
"Queens County, New York",5412,3116,36,081,36081,
"Queens County, New York",54121,3116,36,081,36081,
"Queens County, New York",541211,236,36,081,36081,
"Queens County, New York",541213,1087,36,081,36081,
"Queens County, New York",541214,39,36,081,36081,
"Queens County, New York",541219,1754,36,081,36081,
"Queens County, New York",5413,1203,36,081,36081,
"Queens County, New York",54131,420,36,081,36081,
"Queens County, New York",54132,51,36,081,36081,
"Queens County, New York",54133,418,36,081,36081,
"Queens County, New York",54134,141,36,081,36081,
"Queens County, New York",54135,90,36,081,36081,
"Queens County, New York",54136,8,36,081,36081,
"Queens County, New York",54137,38,36,081,36081,
"Queens County, New York",54138,37,36,081,36081,
"Queens County, New York",5414,2390,36,081,36081,
"Queens County, New York",5415,2349,36,081,36081,
"Queens County, New York",54151,2349,36,081,36081,
"Queens County, New York",5416,6269,36,081,36081,
"Queens County, New York",5417,275,36,081,36081,
"Queens County, New York",5418,1404,36,081,36081,
"Queens County, New York",54193,632,36,081,36081,
"Queens County, New York",5419,8720,36,081,36081,
"Queens County, New York",54191,566,36,081,36081,
"Queens County, New York",54192,1466,36,081,36081,
"Queens County, New York",54194,81,36,081,36081,
"Queens County, New York",54199,5975,36,081,36081,
"Queens County, New York",56,21842,36,081,36081,
"Queens County, New York",561,21727,36,081,36081,
"Queens County, New York",5611,3405,36,081,36081,
"Queens County, New York",56111,3405,36,081,36081,
"Queens County, New York",5612,200,36,081,36081,
"Queens County, New York",56121,200,36,081,36081,
"Queens County, New York",5613,397,36,081,36081,
"Queens County, New York",5614,2514,36,081,36081,
"Queens County, New York",56141,1463,36,081,36081,
"Queens County, New York",56142,285,36,081,36081,
"Queens County, New York",56143,176,36,081,36081,
"Queens County, New York",56144,17,36,081,36081,
"Queens County, New York",56145,6,36,081,36081,
"Queens County, New York",56149,567,36,081,36081,
"Queens County, New York",5615,640,36,081,36081,
"Queens County, New York",5616,1139,36,081,36081,
"Queens County, New York",56173,514,36,081,36081,
"Queens County, New York",5617,12311,36,081,36081,
"Queens County, New York",56171,133,36,081,36081,
"Queens County, New York",56172,9727,36,081,36081,
"Queens County, New York",56174,236,36,081,36081,
"Queens County, New York",56179,1701,36,081,36081,
"Queens County, New York",5619,1121,36,081,36081,
"Queens County, New York",562,115,36,081,36081,
"Queens County, New York",61,6240,36,081,36081,
"Queens County, New York",611,6240,36,081,36081,
"Queens County, New York",62,21675,36,081,36081,
"Queens County, New York",621,11701,36,081,36081,
"Queens County, New York",6211,1296,36,081,36081,
"Queens County, New York",62111,1296,36,081,36081,
"Queens County, New York",621111,971,36,081,36081,
"Queens County, New York",621112,325,36,081,36081,
"Queens County, New York",6212,631,36,081,36081,
"Queens County, New York",62132,129,36,081,36081,
"Queens County, New York",62121,631,36,081,36081,
"Queens County, New York",6213,5323,36,081,36081,
"Queens County, New York",62131,152,36,081,36081,
"Queens County, New York",62133,1150,36,081,36081,
"Queens County, New York",62134,1785,36,081,36081,
"Queens County, New York",62139,2107,36,081,36081,
"Queens County, New York",621391,70,36,081,36081,
"Queens County, New York",621399,2037,36,081,36081,
"Queens County, New York",6214,168,36,081,36081,
"Queens County, New York",6215,227,36,081,36081,
"Queens County, New York",62151,227,36,081,36081,
"Queens County, New York",6216,3677,36,081,36081,
"Queens County, New York",62161,3677,36,081,36081,
"Queens County, New York",6219,379,36,081,36081,
"Queens County, New York",623,753,36,081,36081,
"Queens County, New York",624,9221,36,081,36081,
"Queens County, New York",6241,1611,36,081,36081,
"Queens County, New York",6242,67,36,081,36081,
"Queens County, New York",6243,121,36,081,36081,
"Queens County, New York",62431,121,36,081,36081,
"Queens County, New York",6244,7422,36,081,36081,
"Queens County, New York",62441,7422,36,081,36081,
"Queens County, New York",71,15041,36,081,36081,
"Queens County, New York",711,14373,36,081,36081,
"Queens County, New York",7111,827,36,081,36081,
"Queens County, New York",7112,510,36,081,36081,
"Queens County, New York",71121,510,36,081,36081,
"Queens County, New York",7113,632,36,081,36081,
"Queens County, New York",71151,12031,36,081,36081,
"Queens County, New York",7114,373,36,081,36081,
"Queens County, New York",71141,373,36,081,36081,
"Queens County, New York",7115,12031,36,081,36081,
"Queens County, New York",712,67,36,081,36081,
"Queens County, New York",7121,67,36,081,36081,
"Queens County, New York",713,601,36,081,36081,
"Queens County, New York",7131,17,36,081,36081,
"Queens County, New York",7132,53,36,081,36081,
"Queens County, New York",7211,374,36,081,36081,Food Services
"Queens County, New York",7139,531,36,081,36081,
"Queens County, New York",72,7889,36,081,36081,Food Services
"Queens County, New York",721,557,36,081,36081,Food Services
"Queens County, New York",7212,25,36,081,36081,Food Services
"Queens County, New York",72121,25,36,081,36081,Food Services
"Queens County, New York",7213,158,36,081,36081,Food Services
"Queens County, New York",72131,158,36,081,36081,Food Services
"Queens County, New York",722,7332,36,081,36081,Food Services
"Queens County, New York",7223,4758,36,081,36081,Food Services
"Queens County, New York",7224,230,36,081,36081,Food Services
"Queens County, New York",72241,230,36,081,36081,Food Services
"Queens County, New York",7225,2344,36,081,36081,Food Services
"Queens County, New York",72251,2344,36,081,36081,Food Services
"Queens County, New York",722511,1177,36,081,36081,Food Services
"Queens County, New York",722513,702,36,081,36081,Food Services
"Queens County, New York",722514,273,36,081,36081,Food Services
"Queens County, New York",722515,192,36,081,36081,Food Services
"Queens County, New York",81,26133,36,081,36081,
"Queens County, New York",811,3389,36,081,36081,
"Queens County, New York",8111,1548,36,081,36081,
"Queens County, New York",81111,892,36,081,36081,
"Queens County, New York",81112,344,36,081,36081,
"Queens County, New York",81119,312,36,081,36081,
"Queens County, New York",8112,229,36,081,36081,
"Queens County, New York",81121,229,36,081,36081,
"Queens County, New York",8113,136,36,081,36081,
"Queens County, New York",81131,136,36,081,36081,
"Queens County, New York",8114,1476,36,081,36081,
"Queens County, New York",81141,142,36,081,36081,
"Queens County, New York",81142,95,36,081,36081,
"Queens County, New York",81143,121,36,081,36081,
"Queens County, New York",81149,1118,36,081,36081,
"Queens County, New York",812,21742,36,081,36081,
"Queens County, New York",8121,10415,36,081,36081,
"Queens County, New York",8122,69,36,081,36081,
"Queens County, New York",81211,7785,36,081,36081,
"Queens County, New York",812111,1433,36,081,36081,
"Queens County, New York",812112,4695,36,081,36081,
"Queens County, New York",812113,1657,36,081,36081,
"Queens County, New York",81219,2630,36,081,36081,
"Queens County, New York",81221,68,36,081,36081,
"Queens County, New York",8123,399,36,081,36081,
"Queens County, New York",81231,167,36,081,36081,
"Queens County, New York",81232,227,36,081,36081,
"Queens County, New York",81233,5,36,081,36081,
"Queens County, New York",8129,10859,36,081,36081,
"Queens County, New York",81291,548,36,081,36081,
"Queens County, New York",81292,33,36,081,36081,
"Queens County, New York",81293,56,36,081,36081,
"Queens County, New York",81299,10222,36,081,36081,
"Queens County, New York",813,1002,36,081,36081,
"Kings County, New York",00,306375,36,047,36047,
"Kings County, New York",11,122,36,047,36047,
"Kings County, New York",113,14,36,047,36047,
"Kings County, New York",114,41,36,047,36047,
"Kings County, New York",1141,37,36,047,36047,
"Kings County, New York",11411,37,36,047,36047,
"Kings County, New York",1142,4,36,047,36047,
"Kings County, New York",11421,4,36,047,36047,
"Kings County, New York",115,67,36,047,36047,
"Kings County, New York",1151,41,36,047,36047,
"Kings County, New York",11511,41,36,047,36047,
"Kings County, New York",1152,14,36,047,36047,
"Kings County, New York",11521,14,36,047,36047,
"Kings County, New York",1153,12,36,047,36047,
"Kings County, New York",11531,12,36,047,36047,
"Kings County, New York",21,21,36,047,36047,
"Kings County, New York",212,14,36,047,36047,
"Kings County, New York",2121,5,36,047,36047,
"Kings County, New York",21211,5,36,047,36047,
"Kings County, New York",2122,4,36,047,36047,
"Kings County, New York",2123,5,36,047,36047,
"Kings County, New York",213,7,36,047,36047,
"Kings County, New York",2131,7,36,047,36047,
"Kings County, New York",21311,7,36,047,36047,
"Kings County, New York",22,86,36,047,36047,
"Kings County, New York",221,86,36,047,36047,
"Kings County, New York",23,17823,36,047,36047,
"Kings County, New York",236,6806,36,047,36047,
"Kings County, New York",2361,6024,36,047,36047,
"Kings County, New York",2362,782,36,047,36047,
"Kings County, New York",237,164,36,047,36047,
"Kings County, New York",2371,80,36,047,36047,
"Kings County, New York",2372,12,36,047,36047,
"Kings County, New York",23721,12,36,047,36047,
"Kings County, New York",2373,18,36,047,36047,
"Kings County, New York",23731,18,36,047,36047,
"Kings County, New York",2379,54,36,047,36047,
"Kings County, New York",23799,54,36,047,36047,
"Kings County, New York",238,10853,36,047,36047,
"Kings County, New York",2381,1149,36,047,36047,
"Kings County, New York",2382,2467,36,047,36047,
"Kings County, New York",23821,1188,36,047,36047,
"Kings County, New York",23822,1099,36,047,36047,
"Kings County, New York",23829,180,36,047,36047,
"Kings County, New York",2383,4050,36,047,36047,
"Kings County, New York",2389,3187,36,047,36047,
"Kings County, New York",31-33,2415,36,047,36047,
"Kings County, New York",311,499,36,047,36047,
"Kings County, New York",3111,10,36,047,36047,
