YEAR,STATEFIP,AGE,SEX,BPL,LABFORCE,EMPSTAT,UHRSWORKT,OCC2010,IND1990,ASECWT
2019,25,43,2,30040,2,10,40,3255,831,1413.16
2019,25,68,1,30040,2,10,30,9120,401,1478.45
2019,25,46,2,30040,2,10,40,3600,832,1436.08
2019,25,63,1,30040,2,12,24,3600,832,1150.53
2019,25,60,1,30040,2,10,40,3600,832,1150.53
2019,25,60,2,30040,2,10,40,3600,832,1335.38
2019,9,49,1,30040,2,10,70,4710,550,1849.48
2019,36,27,2,30040,2,10,40,3300,832,4343.31
2019,36,27,1,30040,2,10,40,4720,641,4343.31
2019,36,38,2,30040,2,10,40,3930,871,2310.48
2019,36,22,1,30040,2,10,35,3930,740,3600.02
2019,36,64,1,30040,2,10,35,840,921,2052.68
2019,36,33,2,30040,2,21,999,4600,862,2223.95
2019,36,48,1,30040,2,10,30,6355,60,2437.4
2019,36,58,1,30040,2,10,40,4530,831,2127.06
2019,36,58,2,30040,1,34,999,9999,0,2127.06
2019,36,64,1,30040,1,36,999,9999,0,2511.51
2019,36,38,2,30040,2,10,40,4700,580,2435.52
2019,36,31,1,30040,2,10,79,6440,751,2435.52
2019,36,65,2,30040,2,10,40,3600,840,2094.25
2019,36,75,2,30040,1,36,999,9999,0,2055.85
2019,36,80,1,30040,1,36,999,9999,0,2055.85
2019,36,53,2,30040,2,10,37,5110,840,2960.62
2019,36,33,2,30040,2,10,40,740,871,2730.48
2019,36,47,1,30040,2,10,40,7130,740,1976.64
2019,36,65,2,30040,2,10,40,5240,711,1871.1
2019,36,64,1,30040,2,10,40,7220,401,1871.1
2019,36,85,2,30040,1,36,999,9999,0,1871.1
2019,36,62,2,30040,1,36,999,9999,0,2131.29
2019,36,71,1,30040,1,36,999,9999,0,2131.29
2019,36,67,2,30040,2,10,24,3600,840,2564.81
2019,36,34,2,30040,2,10,997,4720,601,2290.79
2019,36,29,2,30040,2,12,40,4230,832,2270.48
2019,34,45,1,30040,2,10,40,430,60,2176.76
2019,34,42,2,30040,1,34,999,9999,0,2176.76
2019,34,22,1,30040,2,10,20,6260,60,2055.82
