orig_fips,dest_fips,returns
96000,00000,6973489
97000,00000,6890106
97001,00000,3916380
97003,00000,2973726
98000,00000,83383
96000,01000,98467
97000,01000,97457
97001,01000,54577
97003,01000,42880
98000,01000,1010
96000,01001,1979
97000,01001,1933
97001,01001,1242
97003,01001,691
98000,01001,46
01001,01001,17278
01101,01001,414
01051,01001,356
01021,01001,73
01073,01001,56
01047,01001,50
01097,01001,25
01125,01001,23
01117,01001,17
01081,01001,16
01123,01001,16
05007,01001,16
13215,01001,16
48029,01001,15
01003,01001,14
32003,01001,14
15003,01001,13
01089,01001,12
01069,01001,11
01085,01001,11
01109,01001,11
12057,01001,11
01013,01001,10
58000,01001,127
59000,01001,606
59001,01001,33
59003,01001,87
59005,01001,380
59007,01001,106
57009,01001,46
96000,01003,4853
97000,01003,4816
97001,01003,1926
97003,01003,2890
98000,01003,37
01003,01003,59731
01097,01003,917
12033,01003,295
01073,01003,125
01053,01003,81
01117,01003,79
01101,01003,70
01125,01003,53
12113,01003,53
01081,01003,52
01089,01003,48
28047,01003,42
01099,01003,37
12091,01003,35
28059,01003,34
01051,01003,33
12031,01003,31
13121,01003,27
01069,01003,26
01025,01003,23
13135,01003,22
47157,01003,22
22103,01003,21
12005,01003,20
48201,01003,20
57005,01003,20
01103,01003,19
06073,01003,19
01015,01003,18
01115,01003,18
12057,01003,18
13067,01003,18
47037,01003,18
01095,01003,17
01121,01003,17
12095,01003,17
17031,01003,17
22051,01003,17
01001,01003,16
01055,01003,16
01123,01003,16
12103,01003,16
22033,01003,16
01109,01003,15
48113,01003,15
04013,01003,14
06037,01003,14
22071,01003,14
28121,01003,14
01009,01003,13
01047,01003,13
01091,01003,13
01129,01003,13
12099,01003,13
13089,01003,13
28073,01003,13
01043,01003,12
01077,01003,12
01127,01003,12
06059,01003,12
12011,01003,12
12086,01003,12
15003,01003,12
47065,01003,12
05119,01003,11
12019,01003,11
12073,01003,11
12117,01003,11
21111,01003,11
28033,01003,11
01049,01003,10
01083,01003,10
12105,01003,10
13015,01003,10
22055,01003,10
28049,01003,10
32003,01003,10
47093,01003,10
48027,01003,10
48439,01003,10
58000,01003,122
59000,01003,1796
59001,01003,146
59003,01003,430
59005,01003,1047
59007,01003,173
57009,01003,17
96000,01005,520
97000,01005,520
97001,01005,287
97003,01005,233
98000,01005,-1
01005,01005,7750
01069,01005,68
13239,01005,36
01045,01005,35
01067,01005,31
01109,01005,29
01011,01005,19
01113,01005,18
13215,01005,17
01101,01005,15
01073,01005,11
58000,01005,61
59000,01005,180
96000,01007,421
97000,01007,421
97001,01007,333
97003,01007,88
98000,01007,-1
01007,01007,6150
01125,01007,112
01073,01007,80
01117,01007,47
01021,01007,19
01115,01007,12
58000,01007,63
59000,01007,88
96000,01009,1069
97000,01009,1069
97001,01009,887
97003,01009,182
98000,01009,-1
01009,01009,17163
