orig_fips,dest_fips,returns
01003,12011,46
01015,12011,20
01073,12011,90
01073,36047,32
01073,36081,34
01081,12011,34
01089,12011,38
01089,36047,24
01089,36081,20
01097,12011,90
01097,36047,24
01101,12011,42
01101,36047,38
01117,12011,26
02020,12011,34
02020,36081,26
02090,12011,20
04003,12011,30
04013,12011,518
04013,34013,48
04013,36047,314
04013,36081,254
04019,12011,112
04019,36047,104
04019,36081,28
04021,12011,20
05007,12011,48
05119,12011,52
05119,36047,38
06001,12011,116
06001,34013,36
06001,36047,398
06001,36081,112
06013,12011,88
06013,34013,22
06013,36047,116
06013,36081,62
06019,36047,46
06029,12011,24
06029,36081,22
06037,12011,918
06037,34013,176
06037,36047,1540
06037,36081,908
06037,36093,30
06041,12011,24
06041,36047,56
06053,12011,34
06053,36081,20
06059,12011,248
06059,34013,26
06059,36047,232
06059,36081,160
06065,12011,154
06065,36047,58
06065,36081,86
06067,12011,100
06067,36047,64
06067,36081,58
06071,12011,124
06071,36047,82
06071,36081,48
06073,12011,370
06073,34013,62
06073,36047,406
06073,36081,240
06073,36093,24
06075,12011,130
06075,34013,38
06075,36047,968
06075,36081,164
06077,36047,20
06077,36081,22
06081,12011,70
06081,34013,22
06081,36047,110
06081,36081,66
06083,12011,34
06083,36047,26
06085,12011,94
06085,34013,66
06085,36047,196
06085,36081,106
06087,36047,34
06097,12011,38
06097,36047,54
06111,12011,58
06111,36047,46
06111,36081,22
08001,12011,46
08005,12011,88
08005,36047,46
08005,36081,46
08013,12011,36
08013,36047,106
08013,36081,38
08031,12011,104
08031,34013,26
08031,36047,126
08031,36081,78
08035,12011,56
08037,36047,20
08041,12011,92
08041,36047,50
08041,36081,30
08059,12011,46
08059,36047,32
08059,36081,24
08069,36047,28
08069,36081,20
09001,12011,238
09001,34013,90
09001,36047,602
09001,36081,542
09001,36093,24
09003,12011,240
09003,34013,56
09003,36047,376
09003,36081,316
09005,12011,48
09005,36047,78
09005,36081,58
09007,12011,32
09007,36047,52
09007,36081,56
09009,12011,204
09009,34013,68
09009,36047,498
09009,36081,256
09009,36093,22
09011,12011,90
09011,36047,184
09011,36081,122
09013,12011,30
09013,36047,32
09013,36081,22
09015,12011,36
10001,12011,28
10001,34013,20
10001,36047,32
10003,12011,148
10003,34013,50
10003,36047,142
10003,36081,128
10005,12011,66
11001,12011,166
11001,34013,64
11001,36047,734
11001,36081,190
12001,12011,576
12001,36047,80
12001,36081,56
12003,12011,26
12005,12011,94
12009,12011,848
12009,34013,20
12009,36047,92
12009,36081,70
12011,01003,24
12011,01069,26
12011,01073,80
12011,01089,38
12011,01097,38
12011,01101,24
12011,01113,20
12011,01117,20
12011,02020,70
12011,02090,20
12011,04003,28
12011,04013,364
12011,04019,60
12011,04021,30
12011,04025,34
12011,05119,32
12011,06001,100
12011,06013,62
12011,06037,678
12011,06041,32
12011,06053,30
12011,06059,236
12011,06065,78
12011,06067,62
12011,06071,70
12011,06073,314
12011,06075,118
12011,06081,54
12011,06085,100
12011,06097,20
12011,06111,30
12011,08001,30
12011,08005,70
12011,08013,52
12011,08031,150
12011,08035,34
12011,08041,110
12011,08059,46
12011,08069,38
12011,09001,170
12011,09003,152
12011,09007,26
12011,09009,106
12011,09011,48
12011,10003,94
12011,10005,40
12011,11001,192
12011,12001,592
12011,12005,70
12011,12009,752
12011,12011,1280366
12011,12015,146
12011,12017,104
12011,12019,146
12011,12021,612
12011,12023,88
12011,12027,30
12011,12031,944
12011,12033,142
12011,12035,130
12011,12039,28
12011,12043,38
12011,12051,180
12011,12053,120
12011,12055,272
12011,12057,2276
12011,12061,336
12011,12063,28
12011,12069,318
12011,12071,1186
12011,12073,798
12011,12075,46
12011,12081,250
12011,12083,530
12011,12085,338
12011,12086,33180
12011,12087,350
12011,12089,34
12011,12091,82
12011,12093,42
12011,12095,2562
12011,12097,450
12011,12099,12210
12011,12101,338
12011,12103,730
12011,12105,708
12011,12107,40
12011,12109,208
12011,12111,1198
12011,12113,52
12011,12115,302
12011,12117,568
12011,12119,180
12011,12121,40
12011,12127,616
12011,12131,28
12011,13021,52
12011,13031,22
12011,13039,20
12011,13051,126
12011,13057,84
12011,13063,174
12011,13067,324
12011,13073,32
12011,13077,48
12011,13089,400
12011,13097,76
12011,13113,36
12011,13117,74
12011,13121,668
12011,13127,24
12011,13135,440
12011,13139,26
12011,13151,84
12011,13153,26
12011,13179,60
12011,13185,64
12011,13215,96
12011,13217,24
12011,13223,24
12011,13245,82
12011,13247,36
12011,13291,26
12011,13297,20
12011,15003,110
12011,17031,576
12011,17043,76
12011,17089,40
12011,17097,78
12011,17111,22
12011,17143,24
12011,17197,32
12011,18057,22
12011,18089,20
12011,18097,80
12011,19153,24
12011,20091,42
12011,21047,22
12011,21067,60
12011,21111,82
12011,22033,50
12011,22051,92
12011,22071,90
12011,22103,28
12011,23001,22
12011,23005,40
12011,23031,40
12011,24003,84
12011,24005,128
12011,24021,30
12011,24025,22
12011,24027,46
12011,24031,230
12011,24033,154
12011,24043,20
12011,24045,26
12011,24510,84
12011,25001,80
12011,25005,56
12011,25009,156
12011,25013,58
12011,25017,286
12011,25021,92
12011,25023,70
12011,25025,202
12011,25027,104
12011,26065,32
12011,26081,54
12011,26093,24
12011,26099,64
12011,26125,160
12011,26161,42
12011,26163,112
12011,27053,114
12011,27123,34
12011,28047,48
12011,29077,26
12011,29095,26
12011,29183,36
12011,29189,74
12011,29510,28
12011,31055,34
12011,32003,396
12011,32031,64
12011,33011,64
12011,33015,40
12011,34001,60
12011,34003,244
12011,34005,36
12011,34007,90
12011,34009,30
12011,34011,26
12011,34013,156
12011,34015,52
12011,34017,176
12011,34021,58
12011,34023,140
12011,34025,122
12011,34027,78
12011,34029,114
12011,34031,104
12011,34035,48
12011,34039,106
12011,35001,44
12011,36001,40
12011,36005,344
12011,36027,34
12011,36029,80
12011,36045,38
12011,36047,714
12011,36055,112
12011,36059,392
12011,36061,704
12011,36067,60
12011,36071,72
12011,36079,20
12011,36081,686
12011,36085,86
12011,36087,66
12011,36091,46
12011,36093,22
12011,36103,332
12011,36111,40
12011,36119,252
12011,37001,20
12011,37021,102
12011,37025,20
12011,37035,30
12011,37049,28
12011,37051,84
12011,37063,58
12011,37067,76
12011,37071,22
12011,37081,86
12011,37087,44
12011,37089,56
12011,37097,38
12011,37113,24
12011,37119,376
12011,37129,34
12011,37133,92
12011,37135,26
12011,37179,30
12011,37183,286
12011,37191,56
12011,39017,22
12011,39035,128
12011,39049,116
12011,39061,60
12011,39095,30
12011,39113,24
12011,39151,26
12011,39153,34
