orig_fips,dest_fips,returns,county,direction
36081,36081,1654568,36081,inbound
96000,36081,43693,36081,inbound
97000,36081,43128,36081,inbound
97001,36081,28601,36081,inbound
36047,36081,22212,36081,inbound
97003,36081,14527,36081,inbound
36061,36081,12436,36081,inbound
36059,36081,7804,36081,inbound
36005,36081,5934,36081,inbound
36103,36081,3498,36081,inbound
59000,36081,1943,36081,inbound
36119,36081,1452,36081,inbound
34017,36081,1426,36081,inbound
34003,36081,1024,36081,inbound
59005,36081,945,36081,inbound
36085,36081,932,36081,inbound
06037,36081,908,36081,inbound
12086,36081,842,36081,inbound
12011,36081,686,36081,inbound
42101,36081,634,36081,inbound
36081,36081,1654568,36081,outbound
36081,96000,47845,36081,outbound
36081,97000,47127,36081,outbound
36081,97001,28621,36081,outbound
36081,97003,18506,36081,outbound
36081,36047,17762,36081,outbound
36081,36059,12456,36081,outbound
36081,36061,11322,36081,outbound
36081,36005,5044,36081,outbound
36081,36103,4384,36081,outbound
36081,34017,2196,36081,outbound
36081,59000,1952,36081,outbound
36081,36119,1950,36081,outbound
36081,34003,1664,36081,outbound
36081,06037,1328,36081,outbound
36081,12086,1182,36081,outbound
36081,12011,1068,36081,outbound
36081,59005,994,36081,outbound
36081,36085,956,36081,outbound
36081,34023,934,36081,outbound
12011,12011,1280366,12011,inbound
96000,12011,57363,12011,inbound
97000,12011,56514,12011,inbound
12086,12011,36144,12011,inbound
97001,12011,33768,12011,inbound
97003,12011,22746,12011,inbound
12099,12011,11898,12011,inbound
59000,12011,3807,12011,inbound
12057,12011,2542,12011,inbound
12095,12011,2484,12011,inbound
59005,12011,1741,12011,inbound
12071,12011,1250,12011,inbound
12031,12011,1130,12011,inbound
12111,12011,1106,12011,inbound
36047,12011,1082,12011,inbound
36081,12011,1068,12011,inbound
59003,12011,1061,12011,inbound
06037,12011,918,12011,inbound
12073,12011,912,12011,inbound
17031,12011,894,12011,inbound
12011,12011,1280366,12011,outbound
12011,96000,49638,12011,outbound
12011,97000,49034,12011,outbound
12011,12086,33180,12011,outbound
12011,97001,32279,12011,outbound
12011,97003,16755,12011,outbound
12011,12099,12210,12011,outbound
12011,59000,3081,12011,outbound
12011,12095,2562,12011,outbound
12011,12057,2276,12011,outbound
12011,59005,1457,12011,outbound
12011,12111,1198,12011,outbound
12011,12071,1186,12011,outbound
12011,12031,944,12011,outbound
12011,12073,798,12011,outbound
12011,59003,790,12011,outbound
12011,12009,752,12011,outbound
12011,12103,730,12011,outbound
12011,36047,714,12011,outbound
12011,12105,708,12011,outbound
36047,36047,1690648,36047,inbound
96000,36047,53112,36047,inbound
97000,36047,52571,36047,inbound
97001,36047,30299,36047,inbound
36061,36047,24506,36047,inbound
97003,36047,22272,36047,inbound
36081,36047,17762,36047,inbound
36005,36047,5566,36047,inbound
36085,36047,3054,36047,inbound
36059,36047,2634,36047,inbound
59000,36047,2498,36047,inbound
36103,36047,1948,36047,inbound
34017,36047,1568,36047,inbound
06037,36047,1540,36047,inbound
36119,36047,1354,36047,inbound
59005,36047,1210,36047,inbound
42101,36047,1136,36047,inbound
17031,36047,1070,36047,inbound
06075,36047,968,36047,inbound
34013,36047,908,36047,inbound
36047,36047,1690648,36047,outbound
