other_fips,inflows,outflows,net,hub
36061,62990.0,51928.0,11062.0,NYC_MSA
17031,5308.0,3952.0,1356.0,NYC_MSA
25017,3704.0,2914.0,790.0,NYC_MSA
34031,10406.0,9716.0,690.0,NYC_MSA
25025,3300.0,2744.0,556.0,NYC_MSA
57003,2241.0,1833.0,408.0,NYC_MSA
26125,830.0,462.0,368.0,NYC_MSA
25021,1268.0,920.0,348.0,NYC_MSA
34013,16050.0,15716.0,334.0,NYC_MSA
42091,1418.0,1090.0,328.0,NYC_MSA
06073,1942.0,1634.0,308.0,NYC_MSA
36005,29272.0,28990.0,282.0,NYC_MSA
39035,838.0,572.0,266.0,NYC_MSA
09003,1862.0,1610.0,252.0,NYC_MSA
34021,2302.0,2056.0,246.0,NYC_MSA
96000,148087.0,127920.0,20167.0,Miami_MSA
97000,145731.0,125968.0,19763.0,Miami_MSA
97003,64079.0,46902.0,17177.0,Miami_MSA
97001,81652.0,79066.0,2586.0,Miami_MSA
59000,10660.0,8591.0,2069.0,Miami_MSA
12086,40772.0,38906.0,1866.0,Miami_MSA
36081,2874.0,1948.0,926.0,Miami_MSA
17031,2538.0,1622.0,916.0,Miami_MSA
59005,5014.0,4159.0,855.0,Miami_MSA
12103,2668.0,1856.0,812.0,Miami_MSA
06037,3000.0,2196.0,804.0,Miami_MSA
59003,2922.0,2122.0,800.0,Miami_MSA
12099,17624.0,16838.0,786.0,Miami_MSA
36059,1782.0,1002.0,780.0,Miami_MSA
36047,2796.0,2020.0,776.0,Miami_MSA
34013,19227.0,16260.0,2967.0,NJ_State
36081,7998.0,5434.0,2564.0,NJ_State
34031,12966.0,10774.0,2192.0,NJ_State
34017,18652.0,16795.0,1857.0,NJ_State
36047,8364.0,6810.0,1554.0,NJ_State
36005,5070.0,3524.0,1546.0,NJ_State
36085,2860.0,1330.0,1530.0,NJ_State
34023,20958.0,19538.0,1420.0,NJ_State
34007,10424.0,9691.0,733.0,NJ_State
34039,15274.0,14638.0,636.0,NJ_State
36087,1682.0,1224.0,458.0,NJ_State
36059,1842.0,1430.0,412.0,NJ_State
57003,988.0,594.0,394.0,NJ_State
36103,1536.0,1214.0,322.0,NJ_State
36119,1800.0,1646.0,154.0,NJ_State
97000,630895.0,620907.0,9988.0,GA_State
97003,233980.0,224007.0,9973.0,GA_State
96000,636654.0,627368.0,9286.0,GA_State
13089,44418.0,41618.0,2800.0,GA_State
59003,9223.0,7707.0,1516.0,GA_State
59001,6727.0,5398.0,1329.0,GA_State
13067,29262.0,28086.0,1176.0,GA_State
13063,20168.0,19054.0,1114.0,GA_State
59000,55100.0,54175.0,925.0,GA_State
13245,5984.0,5230.0,754.0,GA_State
13287,1320.0,576.0,744.0,GA_State
17031,2932.0,2316.0,616.0,GA_State
01101,1234.0,644.0,590.0,GA_State
13113,3952.0,3434.0,518.0,GA_State
39035,932.0,438.0,494.0,GA_State
24033,20646.0,17646.0,3000.0,MD_State
24510,22332.0,19648.0,2684.0,MD_State
24031,16986.0,15320.0,1666.0,MD_State
11001,16590.0,15340.0,1250.0,MD_State
34025,1308.0,102.0,1206.0,MD_State
59003,3812.0,3286.0,526.0,MD_State
34029,500.0,68.0,432.0,MD_State
34023,670.0,388.0,282.0,MD_State
36055,408.0,168.0,240.0,MD_State
59001,4707.0,4474.0,233.0,MD_State
34005,420.0,198.0,222.0,MD_State
57005,1234.0,1019.0,215.0,MD_State
34007,346.0,134.0,212.0,MD_State
36103,472.0,268.0,204.0,MD_State
39049,546.0,350.0,196.0,MD_State
