0,1,2,3,4,5
State,Abbrv,Student Education Level,CoC,Sex,Count of Active STEM Students
ALASKA,AK,ASSOCIATE,PHILIPPINES,FEMALE,1
ALASKA,AK,BACHELOR'S,AUSTRALIA,FEMALE,1
ALASKA,AK,BACHELOR'S,BRAZIL,FEMALE,1
ALASKA,AK,BACHELOR'S,CANADA,FEMALE,7
ALASKA,AK,BACHELOR'S,CHINA,FEMALE,2
ALASKA,AK,BACHELOR'S,CROATIA,FEMALE,1
ALASKA,AK,BACHELOR'S,ESTONIA,FEMALE,1
ALASKA,AK,BACHELOR'S,ETHIOPIA,FEMALE,1
ALASKA,AK,BACHELOR'S,FRANCE,FEMALE,1
ALASKA,AK,BACHELOR'S,GERMANY,FEMALE,2
ALASKA,AK,BACHELOR'S,HUNGARY,FEMALE,1
ALASKA,AK,BACHELOR'S,INDIA,FEMALE,2
ALASKA,AK,BACHELOR'S,JAMAICA,FEMALE,1
ALASKA,AK,BACHELOR'S,KAZAKHSTAN,FEMALE,1
ALASKA,AK,BACHELOR'S,MONGOLIA,FEMALE,3
ALASKA,AK,BACHELOR'S,NORWAY,FEMALE,1
ALASKA,AK,BACHELOR'S,PANAMA,FEMALE,1
ALASKA,AK,BACHELOR'S,RUSSIA,FEMALE,2
ALASKA,AK,BACHELOR'S,SOUTH KOREA,FEMALE,3
ALASKA,AK,BACHELOR'S,SPAIN,FEMALE,1
ALASKA,AK,BACHELOR'S,SWITZERLAND,FEMALE,1
ALASKA,AK,BACHELOR'S,TONGA,FEMALE,1
ALASKA,AK,BACHELOR'S,VIETNAM,FEMALE,1
ALASKA,AK,DOCTORATE,BANGLADESH,FEMALE,1
ALASKA,AK,DOCTORATE,CANADA,FEMALE,2
ALASKA,AK,DOCTORATE,CHINA,FEMALE,2
ALASKA,AK,DOCTORATE,GERMANY,FEMALE,3
ALASKA,AK,DOCTORATE,HUNGARY,FEMALE,1
ALASKA,AK,DOCTORATE,INDIA,FEMALE,7
ALASKA,AK,DOCTORATE,NORWAY,FEMALE,1
ALASKA,AK,DOCTORATE,PAKISTAN,FEMALE,1
ALASKA,AK,DOCTORATE,SWITZERLAND,FEMALE,1
ALASKA,AK,MASTER'S,AUSTRALIA,FEMALE,1
ALASKA,AK,MASTER'S,BANGLADESH,FEMALE,1
ALASKA,AK,MASTER'S,BRAZIL,FEMALE,1
ALASKA,AK,MASTER'S,CANADA,FEMALE,1
ALASKA,AK,MASTER'S,CHINA,FEMALE,5
ALASKA,AK,MASTER'S,GERMANY,FEMALE,1
ALASKA,AK,MASTER'S,GHANA,FEMALE,1
ALASKA,AK,MASTER'S,INDIA,FEMALE,6
ALASKA,AK,MASTER'S,MONGOLIA,FEMALE,1
ALASKA,AK,MASTER'S,MOROCCO,FEMALE,1
ALASKA,AK,MASTER'S,NIGERIA,FEMALE,3
ALASKA,AK,MASTER'S,TAIWAN,FEMALE,1
ALASKA,AK,MASTER'S,THAILAND,FEMALE,1
ALASKA,AK,MASTER'S,UNITED KINGDOM,FEMALE,1
ALASKA,AK,ASSOCIATE,KAZAKHSTAN,MALE,1
ALASKA,AK,BACHELOR'S,CANADA,MALE,3
ALASKA,AK,BACHELOR'S,CHINA,MALE,1
ALASKA,AK,BACHELOR'S,COLOMBIA,MALE,1
ALASKA,AK,BACHELOR'S,CZECH REPUBLIC,MALE,1
ALASKA,AK,BACHELOR'S,DOMINICA,MALE,1
ALASKA,AK,BACHELOR'S,GUATEMALA,MALE,1
ALASKA,AK,BACHELOR'S,INDIA,MALE,2
ALASKA,AK,BACHELOR'S,ITALY,MALE,2
ALASKA,AK,BACHELOR'S,KAZAKHSTAN,MALE,1
ALASKA,AK,BACHELOR'S,MALAYSIA,MALE,1
