State,Abbreviation,Education Level,Country of Citizenship,Gender,Active Number of Students
ALASKA,AK,ASSOCIATE,PAKISTAN,MALE,1
ALASKA,AK,BACHELOR'S,AFGHANISTAN,MALE,1
ALASKA,AK,BACHELOR'S,AUSTRALIA,MALE,1
ALASKA,AK,BACHELOR'S,AUSTRIA,FEMALE,1
ALASKA,AK,BACHELOR'S,"BAHAMAS, THE",FEMALE,1
ALASKA,AK,BACHELOR'S,CANADA,FEMALE,3
ALASKA,AK,BACHELOR'S,CANADA,MALE,8
ALASKA,AK,BACHELOR'S,CHINA,MALE,4
ALASKA,AK,BACHELOR'S,COLOMBIA,MALE,1
ALASKA,AK,BACHELOR'S,COTE D'IVOIRE,MALE,1
ALASKA,AK,BACHELOR'S,CZECH REPUBLIC,MALE,1
ALASKA,AK,BACHELOR'S,ESTONIA,MALE,1
ALASKA,AK,BACHELOR'S,FRANCE,FEMALE,1
ALASKA,AK,BACHELOR'S,GERMANY,FEMALE,1
ALASKA,AK,BACHELOR'S,GERMANY,MALE,3
ALASKA,AK,BACHELOR'S,GHANA,MALE,1
ALASKA,AK,BACHELOR'S,ICELAND,FEMALE,1
ALASKA,AK,BACHELOR'S,INDIA,MALE,4
ALASKA,AK,BACHELOR'S,INDONESIA,MALE,2
ALASKA,AK,BACHELOR'S,ITALY,FEMALE,1
ALASKA,AK,BACHELOR'S,JAPAN,MALE,2
ALASKA,AK,BACHELOR'S,KENYA,MALE,3
ALASKA,AK,BACHELOR'S,MALAYSIA,MALE,1
ALASKA,AK,BACHELOR'S,MONGOLIA,FEMALE,3
ALASKA,AK,BACHELOR'S,MONGOLIA,MALE,2
ALASKA,AK,BACHELOR'S,NEW ZEALAND,MALE,1
ALASKA,AK,BACHELOR'S,NORWAY,FEMALE,2
ALASKA,AK,BACHELOR'S,PERU,MALE,1
ALASKA,AK,BACHELOR'S,RUSSIA,MALE,1
ALASKA,AK,BACHELOR'S,SAUDI ARABIA,MALE,3
ALASKA,AK,BACHELOR'S,SOUTH KOREA,FEMALE,7
ALASKA,AK,BACHELOR'S,SOUTH KOREA,MALE,11
ALASKA,AK,BACHELOR'S,SRI LANKA,MALE,1
ALASKA,AK,BACHELOR'S,TAIWAN,MALE,1
ALASKA,AK,BACHELOR'S,THAILAND,MALE,1
ALASKA,AK,BACHELOR'S,VIETNAM,MALE,1
ALASKA,AK,DOCTORATE,BELGIUM,FEMALE,1
ALASKA,AK,DOCTORATE,CANADA,FEMALE,1
ALASKA,AK,DOCTORATE,CHINA,FEMALE,3
ALASKA,AK,DOCTORATE,CHINA,MALE,10
ALASKA,AK,DOCTORATE,ETHIOPIA,MALE,1
ALASKA,AK,DOCTORATE,FRANCE,MALE,1
ALASKA,AK,DOCTORATE,GERMANY,FEMALE,4
ALASKA,AK,DOCTORATE,GERMANY,MALE,1
ALASKA,AK,DOCTORATE,INDIA,FEMALE,4
ALASKA,AK,DOCTORATE,INDIA,MALE,12
ALASKA,AK,DOCTORATE,IRAN,FEMALE,1
ALASKA,AK,DOCTORATE,IRAN,MALE,1
ALASKA,AK,DOCTORATE,ITALY,FEMALE,1
ALASKA,AK,DOCTORATE,KAZAKHSTAN,FEMALE,1
ALASKA,AK,DOCTORATE,KENYA,MALE,1
ALASKA,AK,DOCTORATE,MEXICO,MALE,1
ALASKA,AK,DOCTORATE,NEPAL,MALE,2
ALASKA,AK,DOCTORATE,NIGERIA,MALE,1
ALASKA,AK,DOCTORATE,RUSSIA,MALE,3
ALASKA,AK,DOCTORATE,SAUDI ARABIA,FEMALE,1
ALASKA,AK,DOCTORATE,SOUTH KOREA,FEMALE,1
ALASKA,AK,DOCTORATE,SRI LANKA,MALE,1
ALASKA,AK,DOCTORATE,SWEDEN,FEMALE,1
ALASKA,AK,DOCTORATE,SWITZERLAND,MALE,2
ALASKA,AK,DOCTORATE,TAIWAN,FEMALE,1
ALASKA,AK,DOCTORATE,TAIWAN,MALE,1
ALASKA,AK,DOCTORATE,TURKEY,MALE,1
ALASKA,AK,DOCTORATE,UNITED KINGDOM,FEMALE,1
ALASKA,AK,DOCTORATE,UNITED KINGDOM,MALE,1
ALASKA,AK,MASTER'S,BANGLADESH,MALE,4
ALASKA,AK,MASTER'S,BRAZIL,MALE,1
ALASKA,AK,MASTER'S,CANADA,MALE,1
ALASKA,AK,MASTER'S,CHINA,MALE,7
ALASKA,AK,MASTER'S,GERMANY,FEMALE,2
ALASKA,AK,MASTER'S,GUATEMALA,MALE,1
ALASKA,AK,MASTER'S,INDIA,FEMALE,7
ALASKA,AK,MASTER'S,INDIA,MALE,21
ALASKA,AK,MASTER'S,MONGOLIA,MALE,1
ALASKA,AK,MASTER'S,NETHERLANDS,FEMALE,1
ALASKA,AK,MASTER'S,NIGERIA,MALE,1
ALASKA,AK,MASTER'S,PAKISTAN,MALE,2
ALASKA,AK,MASTER'S,RUSSIA,MALE,1
ALASKA,AK,MASTER'S,RWANDA,MALE,2
ALASKA,AK,MASTER'S,SOUTH KOREA,MALE,1
ALASKA,AK,MASTER'S,THAILAND,MALE,1
ALASKA,AK,MASTER'S,UNITED KINGDOM,MALE,1
ALASKA,AK,SECONDARY,CHINA,MALE,1
ALABAMA,AL,ASSOCIATE,"BAHAMAS, THE",FEMALE,1
ALABAMA,AL,ASSOCIATE,BAHRAIN,MALE,1
ALABAMA,AL,ASSOCIATE,BANGLADESH,MALE,4
ALABAMA,AL,ASSOCIATE,BRAZIL,FEMALE,1
ALABAMA,AL,ASSOCIATE,BRAZIL,MALE,1
ALABAMA,AL,ASSOCIATE,CAMEROON,MALE,1
ALABAMA,AL,ASSOCIATE,CANADA,MALE,1
ALABAMA,AL,ASSOCIATE,COLOMBIA,FEMALE,1
ALABAMA,AL,ASSOCIATE,COLOMBIA,MALE,2
ALABAMA,AL,ASSOCIATE,COTE D'IVOIRE,FEMALE,1
ALABAMA,AL,ASSOCIATE,EGYPT,MALE,1
ALABAMA,AL,ASSOCIATE,EQUATORIAL GUINEA,FEMALE,2
ALABAMA,AL,ASSOCIATE,"GAMBIA, THE",MALE,1
ALABAMA,AL,ASSOCIATE,GAZA STRIP,MALE,1
ALABAMA,AL,ASSOCIATE,HONDURAS,FEMALE,1
ALABAMA,AL,ASSOCIATE,HONDURAS,MALE,1
ALABAMA,AL,ASSOCIATE,INDIA,FEMALE,4
ALABAMA,AL,ASSOCIATE,INDIA,MALE,7
ALABAMA,AL,ASSOCIATE,JORDAN,MALE,1
ALABAMA,AL,ASSOCIATE,KENYA,FEMALE,1
ALABAMA,AL,ASSOCIATE,MEXICO,MALE,1
ALABAMA,AL,ASSOCIATE,MOLDOVA,FEMALE,1
ALABAMA,AL,ASSOCIATE,NEPAL,MALE,6
ALABAMA,AL,ASSOCIATE,NIGERIA,FEMALE,5
ALABAMA,AL,ASSOCIATE,NIGERIA,MALE,4
ALABAMA,AL,ASSOCIATE,PHILIPPINES,MALE,3
ALABAMA,AL,ASSOCIATE,SAINT VINCENT AND THE GRENADINES,MALE,1
ALABAMA,AL,ASSOCIATE,SAUDI ARABIA,MALE,14
ALABAMA,AL,ASSOCIATE,SOUTH KOREA,MALE,1
ALABAMA,AL,ASSOCIATE,TANZANIA,MALE,1
ALABAMA,AL,ASSOCIATE,TOGO,MALE,1
ALABAMA,AL,ASSOCIATE,VENEZUELA,MALE,1
ALABAMA,AL,ASSOCIATE,VIETNAM,FEMALE,1
ALABAMA,AL,ASSOCIATE,VIETNAM,MALE,5
ALABAMA,AL,BACHELOR'S,ANGUILLA,FEMALE,1
ALABAMA,AL,BACHELOR'S,ANGUILLA,MALE,1
ALABAMA,AL,BACHELOR'S,ARGENTINA,FEMALE,2
ALABAMA,AL,BACHELOR'S,ARGENTINA,MALE,1
ALABAMA,AL,BACHELOR'S,AUSTRALIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,AUSTRALIA,MALE,2
ALABAMA,AL,BACHELOR'S,AUSTRIA,MALE,1
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",FEMALE,16
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",MALE,13
ALABAMA,AL,BACHELOR'S,BAHRAIN,MALE,1
ALABAMA,AL,BACHELOR'S,BANGLADESH,FEMALE,4
ALABAMA,AL,BACHELOR'S,BANGLADESH,MALE,4
ALABAMA,AL,BACHELOR'S,BARBADOS,FEMALE,2
ALABAMA,AL,BACHELOR'S,BARBADOS,MALE,1
ALABAMA,AL,BACHELOR'S,BENIN,MALE,1
ALABAMA,AL,BACHELOR'S,BERMUDA,FEMALE,5
ALABAMA,AL,BACHELOR'S,BERMUDA,MALE,8
ALABAMA,AL,BACHELOR'S,BOLIVIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,BOLIVIA,MALE,1
ALABAMA,AL,BACHELOR'S,BRAZIL,FEMALE,5
ALABAMA,AL,BACHELOR'S,BRAZIL,MALE,5
ALABAMA,AL,BACHELOR'S,BRITISH VIRGIN ISLANDS,MALE,1
ALABAMA,AL,BACHELOR'S,CAMEROON,FEMALE,2
ALABAMA,AL,BACHELOR'S,CAMEROON,MALE,1
ALABAMA,AL,BACHELOR'S,CANADA,FEMALE,20
ALABAMA,AL,BACHELOR'S,CANADA,MALE,11
ALABAMA,AL,BACHELOR'S,CHILE,MALE,1
ALABAMA,AL,BACHELOR'S,CHINA,FEMALE,65
ALABAMA,AL,BACHELOR'S,CHINA,MALE,222
ALABAMA,AL,BACHELOR'S,COLOMBIA,FEMALE,4
ALABAMA,AL,BACHELOR'S,COLOMBIA,MALE,3
ALABAMA,AL,BACHELOR'S,CONGO (KINSHASA),MALE,2
ALABAMA,AL,BACHELOR'S,COTE D'IVOIRE,MALE,2
ALABAMA,AL,BACHELOR'S,CROATIA,MALE,1
ALABAMA,AL,BACHELOR'S,CYPRUS,FEMALE,2
ALABAMA,AL,BACHELOR'S,CZECH REPUBLIC,FEMALE,1
ALABAMA,AL,BACHELOR'S,DENMARK,FEMALE,1
ALABAMA,AL,BACHELOR'S,DENMARK,MALE,1
ALABAMA,AL,BACHELOR'S,ECUADOR,FEMALE,1
ALABAMA,AL,BACHELOR'S,ECUADOR,MALE,2
ALABAMA,AL,BACHELOR'S,EGYPT,MALE,4
ALABAMA,AL,BACHELOR'S,EL SALVADOR,MALE,1
ALABAMA,AL,BACHELOR'S,EQUATORIAL GUINEA,FEMALE,1
ALABAMA,AL,BACHELOR'S,ETHIOPIA,MALE,2
ALABAMA,AL,BACHELOR'S,FRANCE,FEMALE,3
ALABAMA,AL,BACHELOR'S,FRANCE,MALE,3
ALABAMA,AL,BACHELOR'S,GEORGIA,MALE,1
ALABAMA,AL,BACHELOR'S,GERMANY,FEMALE,2
ALABAMA,AL,BACHELOR'S,GERMANY,MALE,5
ALABAMA,AL,BACHELOR'S,GHANA,FEMALE,1
ALABAMA,AL,BACHELOR'S,GHANA,MALE,4
ALABAMA,AL,BACHELOR'S,GUYANA,FEMALE,1
ALABAMA,AL,BACHELOR'S,GUYANA,MALE,2
ALABAMA,AL,BACHELOR'S,HONDURAS,MALE,2
ALABAMA,AL,BACHELOR'S,HONG KONG,FEMALE,1
ALABAMA,AL,BACHELOR'S,HONG KONG,MALE,2
ALABAMA,AL,BACHELOR'S,HUNGARY,FEMALE,1
ALABAMA,AL,BACHELOR'S,ICELAND,MALE,2
ALABAMA,AL,BACHELOR'S,INDIA,FEMALE,9
ALABAMA,AL,BACHELOR'S,INDIA,MALE,50
ALABAMA,AL,BACHELOR'S,IRAN,FEMALE,2
ALABAMA,AL,BACHELOR'S,IRAN,MALE,2
ALABAMA,AL,BACHELOR'S,IRELAND,MALE,2
ALABAMA,AL,BACHELOR'S,ISRAEL,MALE,1
ALABAMA,AL,BACHELOR'S,JAMAICA,FEMALE,7
ALABAMA,AL,BACHELOR'S,JAMAICA,MALE,7
ALABAMA,AL,BACHELOR'S,JAPAN,FEMALE,6
ALABAMA,AL,BACHELOR'S,JAPAN,MALE,10
ALABAMA,AL,BACHELOR'S,JORDAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,JORDAN,MALE,2
ALABAMA,AL,BACHELOR'S,KENYA,FEMALE,9
ALABAMA,AL,BACHELOR'S,KENYA,MALE,6
ALABAMA,AL,BACHELOR'S,KUWAIT,FEMALE,10
ALABAMA,AL,BACHELOR'S,KUWAIT,MALE,442
ALABAMA,AL,BACHELOR'S,KUWAIT,UNKNOWN,1
ALABAMA,AL,BACHELOR'S,KYRGYZSTAN,MALE,1
ALABAMA,AL,BACHELOR'S,MALAWI,FEMALE,3
ALABAMA,AL,BACHELOR'S,MAURITIUS,MALE,1
ALABAMA,AL,BACHELOR'S,MEXICO,FEMALE,1
ALABAMA,AL,BACHELOR'S,MEXICO,MALE,1
ALABAMA,AL,BACHELOR'S,MOROCCO,MALE,1
ALABAMA,AL,BACHELOR'S,NAMIBIA,MALE,1
ALABAMA,AL,BACHELOR'S,NEPAL,FEMALE,13
ALABAMA,AL,BACHELOR'S,NEPAL,MALE,56
ALABAMA,AL,BACHELOR'S,NETHERLANDS,MALE,1
ALABAMA,AL,BACHELOR'S,NEW ZEALAND,FEMALE,1
ALABAMA,AL,BACHELOR'S,NIGERIA,FEMALE,14
ALABAMA,AL,BACHELOR'S,NIGERIA,MALE,33
ALABAMA,AL,BACHELOR'S,NORWAY,FEMALE,1
ALABAMA,AL,BACHELOR'S,OMAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,PAKISTAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,PAKISTAN,MALE,6
ALABAMA,AL,BACHELOR'S,PANAMA,FEMALE,1
ALABAMA,AL,BACHELOR'S,PANAMA,MALE,1
ALABAMA,AL,BACHELOR'S,PERU,MALE,1
ALABAMA,AL,BACHELOR'S,PHILIPPINES,FEMALE,2
ALABAMA,AL,BACHELOR'S,QATAR,MALE,4
ALABAMA,AL,BACHELOR'S,ROMANIA,MALE,1
ALABAMA,AL,BACHELOR'S,RWANDA,FEMALE,2
ALABAMA,AL,BACHELOR'S,SAINT LUCIA,MALE,1
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,FEMALE,10
ALABAMA,AL,BACHELOR'S,SAUDI ARABIA,MALE,247
ALABAMA,AL,BACHELOR'S,SERBIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,SERBIA,MALE,1
ALABAMA,AL,BACHELOR'S,SIERRA LEONE,FEMALE,1
ALABAMA,AL,BACHELOR'S,SINGAPORE,FEMALE,1
ALABAMA,AL,BACHELOR'S,SINGAPORE,MALE,1
ALABAMA,AL,BACHELOR'S,SLOVAKIA,MALE,1
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,FEMALE,2
ALABAMA,AL,BACHELOR'S,SOUTH AFRICA,MALE,5
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,FEMALE,10
ALABAMA,AL,BACHELOR'S,SOUTH KOREA,MALE,26
ALABAMA,AL,BACHELOR'S,SPAIN,FEMALE,2
ALABAMA,AL,BACHELOR'S,SPAIN,MALE,3
ALABAMA,AL,BACHELOR'S,SRI LANKA,MALE,3
ALABAMA,AL,BACHELOR'S,SUDAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,SURINAME,FEMALE,1
ALABAMA,AL,BACHELOR'S,SWEDEN,FEMALE,3
ALABAMA,AL,BACHELOR'S,SWITZERLAND,MALE,2
ALABAMA,AL,BACHELOR'S,SYRIA,MALE,1
ALABAMA,AL,BACHELOR'S,TAIWAN,FEMALE,1
ALABAMA,AL,BACHELOR'S,TAIWAN,MALE,6
ALABAMA,AL,BACHELOR'S,TANZANIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,THAILAND,FEMALE,2
ALABAMA,AL,BACHELOR'S,THAILAND,MALE,4
ALABAMA,AL,BACHELOR'S,TOGO,FEMALE,1
ALABAMA,AL,BACHELOR'S,TRINIDAD AND TOBAGO,FEMALE,1
ALABAMA,AL,BACHELOR'S,TUNISIA,MALE,1
ALABAMA,AL,BACHELOR'S,TURKMENISTAN,MALE,3
ALABAMA,AL,BACHELOR'S,UKRAINE,MALE,2
ALABAMA,AL,BACHELOR'S,UNITED ARAB EMIRATES,MALE,20
ALABAMA,AL,BACHELOR'S,UNITED KINGDOM,FEMALE,5
ALABAMA,AL,BACHELOR'S,UNITED KINGDOM,MALE,8
ALABAMA,AL,BACHELOR'S,VENEZUELA,FEMALE,5
ALABAMA,AL,BACHELOR'S,VENEZUELA,MALE,3
ALABAMA,AL,BACHELOR'S,VIETNAM,FEMALE,4
ALABAMA,AL,BACHELOR'S,VIETNAM,MALE,8
ALABAMA,AL,BACHELOR'S,WEST BANK,MALE,1
ALABAMA,AL,BACHELOR'S,YEMEN,MALE,3
ALABAMA,AL,BACHELOR'S,ZAMBIA,MALE,1
ALABAMA,AL,BACHELOR'S,ZIMBABWE,FEMALE,1
ALABAMA,AL,BACHELOR'S,ZIMBABWE,MALE,3
ALABAMA,AL,DOCTORATE,AUSTRALIA,MALE,1
ALABAMA,AL,DOCTORATE,AZERBAIJAN,MALE,1
ALABAMA,AL,DOCTORATE,"BAHAMAS, THE",FEMALE,1
ALABAMA,AL,DOCTORATE,BANGLADESH,FEMALE,14
ALABAMA,AL,DOCTORATE,BANGLADESH,MALE,56
ALABAMA,AL,DOCTORATE,BELARUS,FEMALE,1
ALABAMA,AL,DOCTORATE,BENIN,MALE,1
ALABAMA,AL,DOCTORATE,BRAZIL,FEMALE,1
ALABAMA,AL,DOCTORATE,BRAZIL,MALE,7
ALABAMA,AL,DOCTORATE,BURKINA FASO,MALE,1
ALABAMA,AL,DOCTORATE,CAMEROON,MALE,1
ALABAMA,AL,DOCTORATE,CANADA,FEMALE,2
ALABAMA,AL,DOCTORATE,CANADA,MALE,6
ALABAMA,AL,DOCTORATE,CHAD,MALE,2
ALABAMA,AL,DOCTORATE,CHILE,MALE,2
ALABAMA,AL,DOCTORATE,CHINA,FEMALE,129
ALABAMA,AL,DOCTORATE,CHINA,MALE,320
ALABAMA,AL,DOCTORATE,COLOMBIA,FEMALE,2
ALABAMA,AL,DOCTORATE,CONGO (BRAZZAVILLE),MALE,1
ALABAMA,AL,DOCTORATE,COSTA RICA,FEMALE,1
ALABAMA,AL,DOCTORATE,COSTA RICA,MALE,1
ALABAMA,AL,DOCTORATE,CROATIA,FEMALE,1
ALABAMA,AL,DOCTORATE,DOMINICA,FEMALE,1
ALABAMA,AL,DOCTORATE,DOMINICA,MALE,1
ALABAMA,AL,DOCTORATE,EGYPT,FEMALE,1
ALABAMA,AL,DOCTORATE,EGYPT,MALE,13
ALABAMA,AL,DOCTORATE,EL SALVADOR,MALE,1
ALABAMA,AL,DOCTORATE,ERITREA,MALE,2
ALABAMA,AL,DOCTORATE,ETHIOPIA,FEMALE,1
ALABAMA,AL,DOCTORATE,ETHIOPIA,MALE,3
ALABAMA,AL,DOCTORATE,FRANCE,FEMALE,1
ALABAMA,AL,DOCTORATE,GERMANY,FEMALE,4
ALABAMA,AL,DOCTORATE,GHANA,FEMALE,3
ALABAMA,AL,DOCTORATE,GHANA,MALE,16
ALABAMA,AL,DOCTORATE,GREECE,MALE,1
ALABAMA,AL,DOCTORATE,GRENADA,FEMALE,1
ALABAMA,AL,DOCTORATE,HONDURAS,MALE,1
ALABAMA,AL,DOCTORATE,HONG KONG,MALE,1
ALABAMA,AL,DOCTORATE,INDIA,FEMALE,61
ALABAMA,AL,DOCTORATE,INDIA,MALE,125
ALABAMA,AL,DOCTORATE,INDONESIA,FEMALE,1
ALABAMA,AL,DOCTORATE,INDONESIA,MALE,2
ALABAMA,AL,DOCTORATE,IRAN,FEMALE,22
ALABAMA,AL,DOCTORATE,IRAN,MALE,50
ALABAMA,AL,DOCTORATE,IRAQ,FEMALE,1
ALABAMA,AL,DOCTORATE,IRAQ,MALE,2
ALABAMA,AL,DOCTORATE,JAMAICA,FEMALE,2
ALABAMA,AL,DOCTORATE,JAMAICA,MALE,1
ALABAMA,AL,DOCTORATE,JAPAN,FEMALE,1
ALABAMA,AL,DOCTORATE,JAPAN,MALE,1
ALABAMA,AL,DOCTORATE,JORDAN,FEMALE,3
ALABAMA,AL,DOCTORATE,JORDAN,MALE,9
ALABAMA,AL,DOCTORATE,KENYA,FEMALE,2
ALABAMA,AL,DOCTORATE,KENYA,MALE,4
ALABAMA,AL,DOCTORATE,KUWAIT,FEMALE,1
ALABAMA,AL,DOCTORATE,KUWAIT,MALE,1
ALABAMA,AL,DOCTORATE,LIBYA,MALE,7
ALABAMA,AL,DOCTORATE,MALAYSIA,FEMALE,1
ALABAMA,AL,DOCTORATE,MALAYSIA,MALE,2
ALABAMA,AL,DOCTORATE,MEXICO,FEMALE,1
ALABAMA,AL,DOCTORATE,MEXICO,MALE,6
ALABAMA,AL,DOCTORATE,NEPAL,FEMALE,6
ALABAMA,AL,DOCTORATE,NEPAL,MALE,51
ALABAMA,AL,DOCTORATE,NETHERLANDS,FEMALE,1
ALABAMA,AL,DOCTORATE,NIGERIA,FEMALE,7
ALABAMA,AL,DOCTORATE,NIGERIA,MALE,13
ALABAMA,AL,DOCTORATE,PAKISTAN,FEMALE,2
ALABAMA,AL,DOCTORATE,PAKISTAN,MALE,2
ALABAMA,AL,DOCTORATE,PHILIPPINES,MALE,1
ALABAMA,AL,DOCTORATE,POLAND,FEMALE,1
ALABAMA,AL,DOCTORATE,POLAND,MALE,1
ALABAMA,AL,DOCTORATE,ROMANIA,FEMALE,1
ALABAMA,AL,DOCTORATE,ROMANIA,MALE,1
ALABAMA,AL,DOCTORATE,RUSSIA,MALE,2
ALABAMA,AL,DOCTORATE,RWANDA,FEMALE,1
ALABAMA,AL,DOCTORATE,RWANDA,MALE,1
