State,Abbrv,Student Education Level,CoC,Gender,Count of Active STEM Students
ALABAMA,AL,ASSOCIATE,ARGENTINA,MALE,1
ALABAMA,AL,ASSOCIATE,AUSTRALIA,MALE,1
ALABAMA,AL,ASSOCIATE,BAHRAIN,MALE,1
ALABAMA,AL,ASSOCIATE,CANADA,MALE,1
ALABAMA,AL,ASSOCIATE,CHINA,MALE,1
ALABAMA,AL,ASSOCIATE,COLOMBIA,MALE,2
ALABAMA,AL,ASSOCIATE,COSTA RICA,FEMALE,1
ALABAMA,AL,ASSOCIATE,GERMANY,FEMALE,1
ALABAMA,AL,ASSOCIATE,HONDURAS,FEMALE,1
ALABAMA,AL,ASSOCIATE,HONDURAS,MALE,1
ALABAMA,AL,ASSOCIATE,INDIA,FEMALE,2
ALABAMA,AL,ASSOCIATE,INDIA,MALE,5
ALABAMA,AL,ASSOCIATE,ISRAEL,MALE,1
ALABAMA,AL,ASSOCIATE,KENYA,MALE,2
ALABAMA,AL,ASSOCIATE,NEPAL,MALE,3
ALABAMA,AL,ASSOCIATE,PAKISTAN,MALE,3
ALABAMA,AL,ASSOCIATE,PERU,FEMALE,1
ALABAMA,AL,ASSOCIATE,PHILIPPINES,FEMALE,2
ALABAMA,AL,ASSOCIATE,PHILIPPINES,MALE,3
ALABAMA,AL,ASSOCIATE,SPAIN,FEMALE,1
ALABAMA,AL,ASSOCIATE,THAILAND,MALE,1
ALABAMA,AL,ASSOCIATE,VENEZUELA,MALE,1
ALABAMA,AL,ASSOCIATE,VIETNAM,MALE,2
ALABAMA,AL,ASSOCIATE,ZAMBIA,MALE,1
ALABAMA,AL,BACHELOR'S,ANGOLA,MALE,2
ALABAMA,AL,BACHELOR'S,ANTIGUA AND BARBUDA,MALE,1
ALABAMA,AL,BACHELOR'S,ARGENTINA,FEMALE,1
ALABAMA,AL,BACHELOR'S,AUSTRALIA,MALE,2
ALABAMA,AL,BACHELOR'S,AZERBAIJAN,MALE,3
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",FEMALE,10
ALABAMA,AL,BACHELOR'S,"BAHAMAS, THE",MALE,9
ALABAMA,AL,BACHELOR'S,BANGLADESH,FEMALE,3
ALABAMA,AL,BACHELOR'S,BANGLADESH,MALE,5
ALABAMA,AL,BACHELOR'S,BARBADOS,FEMALE,1
ALABAMA,AL,BACHELOR'S,BELIZE,MALE,1
ALABAMA,AL,BACHELOR'S,BERMUDA,FEMALE,3
ALABAMA,AL,BACHELOR'S,BERMUDA,MALE,1
ALABAMA,AL,BACHELOR'S,BRAZIL,FEMALE,4
ALABAMA,AL,BACHELOR'S,BRAZIL,MALE,10
ALABAMA,AL,BACHELOR'S,BULGARIA,FEMALE,1
ALABAMA,AL,BACHELOR'S,BURMA,FEMALE,3
ALABAMA,AL,BACHELOR'S,BURMA,MALE,4
ALABAMA,AL,BACHELOR'S,CAMBODIA,FEMALE,2
