nta,ntaname,estimate,moe
BK0101,Greenpoint,47,66
BK0102,Williamsburg,78,133
BK0103,South Williamsburg,7,66
BK0104,East Williamsburg,157,109
BK0201,Brooklyn Heights,29,44
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,176,201
BK0203,Fort Greene,126,73
BK0204,Clinton Hill,131,119
BK0261,Brooklyn Navy Yard,0,13
BK0301,Bedford-Stuyvesant (West),581,303
BK0302,Bedford-Stuyvesant (East),1238,811
BK0401,Bushwick (West),288,240
BK0402,Bushwick (East),1043,459
BK0471,The Evergreens Cemetery,0,13
BK0501,Cypress Hills,2104,724
BK0502,East New York (North),1761,746
BK0503,East New York-New Lots,2159,760
BK0504,Spring Creek-Starrett City,214,189
BK0505,East New York-City Line,1934,560
BK0571,Highland Park-Cypress Hills Cemeteries (South),0,13
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,206,253
BK0602,Park Slope,64,79
BK0701,Windsor Terrace-South Slope,21,36
BK0702,Sunset Park (West),333,267
BK0703,Sunset Park (Central),116,119
BK0771,Green-Wood Cemetery,0,13
BK0801,Prospect Heights,0,35
BK0802,Crown Heights (North),1578,617
BK0891,Lincoln Terrace Park,0,13
BK0901,Crown Heights (South),837,338
BK0902,Prospect Lefferts Gardens-Wingate,830,456
BK1001,Bay Ridge,179,131
BK1002,Dyker Heights,38,69
BK1061,Fort Hamilton,0,13
BK1091,Dyker Beach Park,0,13
BK1101,Bensonhurst,118,110
BK1102,Bath Beach,19,53
BK1103,Gravesend (West),152,179
BK1201,Sunset Park (East)-Borough Park (West),31,52
BK1202,Borough Park,169,176
BK1203,Kensington,248,319
BK1204,Mapleton-Midwood (West),0,52
BK1301,Gravesend (South),12,42
BK1302,Coney Island-Sea Gate,338,317
BK1303,Brighton Beach,24,47
BK1391,Calvert Vaux Park,0,13
BK1401,Flatbush,2080,626
BK1402,Flatbush (West)-Ditmas Park-Parkville,243,141
BK1403,Midwood,70,75
BK1501,Gravesend (East)-Homecrest,42,71
BK1502,Madison,21,58
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,29,79
BK1601,Ocean Hill,585,308
BK1602,Brownsville,1172,479
BK1701,East Flatbush-Erasmus,2159,554
BK1702,East Flatbush-Farragut,3193,770
BK1703,East Flatbush-Rugby,2463,711
BK1704,East Flatbush-Remsen Village,2659,797
BK1771,Holy Cross Cemetery,0,13
BK1801,Flatlands,2589,731
BK1802,Marine Park-Mill Basin-Bergen Beach,125,103
BK1803,Canarsie,3252,678
BK1891,Marine Park-Plumb Island,0,13
BK1892,McGuire Fields,0,13
BK1893,Canarsie Park & Pier,0,18
BK5591,Prospect Park,0,13
BK5691,Barren Island-Floyd Bennett Field,0,13
BK5692,Jamaica Bay (West),0,13
BK5693,Shirley Chisholm State Park,0,13
BX0101,Mott Haven-Port Morris,161,162
BX0102,Melrose,28,63
BX0201,Hunts Point,53,73
BX0202,Longwood,187,122
BX0291,North & South Brother Islands,0,13
BX0301,Morrisania,444,387
BX0302,Claremont Village-Claremont (East),23,37
BX0303,Crotona Park East,33,54
BX0391,Crotona Park,0,13
BX0401,Concourse-Concourse Village,327,180
BX0402,Highbridge,46,75
BX0403,Mount Eden-Claremont (West),356,210
BX0491,Yankee Stadium-Macombs Dam Park,0,13
BX0492,Claremont Park,0,13
BX0501,University Heights (South)-Morris Heights,98,132
BX0502,Mount Hope,420,395
BX0503,Fordham Heights,206,196
BX0601,West Farms,18,43
BX0602,Tremont,153,143
BX0603,Belmont,73,85
BX0701,University Heights (North)-Fordham,214,178
BX0702,Bedford Park,196,146
BX0703,Norwood,242,119
BX0801,Kingsbridge Heights-Van Cortlandt Village,19,46
BX0802,Kingsbridge-Marble Hill,57,74
BX0803,Riverdale-Spuyten Duyvil,114,107
BX0901,Soundview-Bruckner-Bronx River,2091,660
