domain,count
yahoo.com,15
oilprice.com,8
dailygazette.com,6
hngn.com,5
aol.com,4
dailycaller.com,4
newsday.com,4
homelandsecuritynewswire.com,4
mymotherlode.com,4
ibtimes.com,4
ksat.com,3
thestkittsnevisobserver.com,3
lebanondemocrat.com,3
latintimes.com,3
finance.yahoo.com,3
abcnews.go.com,3
foreignpolicy.com,3
deadline.com,3
morningsun.net,2
sitkasentinel.com,2
bostonglobe.com,2
wnd.com,2
laist.com,2
kpvi.com,2
news4jax.com,2
amsterdamnews.com,2
artdaily.com,2
as-coa.org,2
essence.com,2
mynewsla.com,2
